date,asset,weight
20230904,000001.XSHE,0
20230904,000002.XSHE,0.00040863
20230904,000004.XSHE,0.000449068
20230904,000005.XSHE,5.15E-05
20230904,000006.XSHE,0.00056472
20230904,000007.XSHE,5.53E-05
20230904,000008.XSHE,0
20230904,000009.XSHE,0.00015831
20230904,000010.XSHE,0
20230904,000011.XSHE,0
20230904,000012.XSHE,0.000233937
20230904,000014.XSHE,0
20230904,000016.XSHE,0.000583889
20230904,000017.XSHE,3.93E-05
20230904,000019.XSHE,8.86E-05
20230904,000020.XSHE,0
20230904,000021.XSHE,0.000181216
20230904,000023.XSHE,0
20230904,000025.XSHE,0.000242089
20230904,000026.XSHE,0.000240275
20230904,000027.XSHE,0
20230904,000028.XSHE,0
20230904,000029.XSHE,0
20230904,000030.XSHE,0.00012
20230904,000031.XSHE,0.000678246
20230904,000032.XSHE,0
20230904,000034.XSHE,0
20230904,000035.XSHE,0
20230904,000036.XSHE,0
20230904,000037.XSHE,0.000445307
20230904,000039.XSHE,0
20230904,000040.XSHE,0.000195627
20230904,000042.XSHE,0.000148359
20230904,000045.XSHE,0
20230904,000046.XSHE,0.00027056
20230904,000048.XSHE,0.000268477
20230904,000049.XSHE,0
20230904,000050.XSHE,0.000585933
20230904,000055.XSHE,0
20230904,000056.XSHE,0.000623871
20230904,000058.XSHE,0.000142012
20230904,000059.XSHE,0
20230904,000060.XSHE,0
20230904,000061.XSHE,0.000381994
20230904,000062.XSHE,0
20230904,000063.XSHE,0
20230904,000065.XSHE,0.000365048
20230904,000066.XSHE,0.000272826
20230904,000068.XSHE,0
20230904,000069.XSHE,0.000362083
20230904,000070.XSHE,7.99E-05
20230904,000078.XSHE,0
20230904,000088.XSHE,3.16E-06
20230904,000089.XSHE,0.000490219
20230904,000090.XSHE,0
20230904,000096.XSHE,0
20230904,000099.XSHE,0
20230904,000100.XSHE,0
20230904,000151.XSHE,6.96E-05
20230904,000153.XSHE,0
20230904,000155.XSHE,0.000313276
20230904,000156.XSHE,4.62E-05
20230904,000157.XSHE,0
20230904,000158.XSHE,0
20230904,000159.XSHE,8.51E-05
20230904,000166.XSHE,0
20230904,000301.XSHE,0.000624165
20230904,000333.XSHE,0.000311753
20230904,000338.XSHE,0
20230904,000400.XSHE,0
20230904,000401.XSHE,0
20230904,000402.XSHE,0.000345359
20230904,000403.XSHE,0
20230904,000404.XSHE,0.000188704
20230904,000407.XSHE,4.56E-05
20230904,000408.XSHE,0
20230904,000409.XSHE,0
20230904,000410.XSHE,0.000129194
20230904,000411.XSHE,0
20230904,000413.XSHE,8.68E-05
20230904,000415.XSHE,0
20230904,000416.XSHE,0
20230904,000417.XSHE,0
20230904,000419.XSHE,0.000488306
20230904,000420.XSHE,0
20230904,000421.XSHE,0.000321769
20230904,000422.XSHE,0
20230904,000423.XSHE,6.74E-05
20230904,000425.XSHE,1.76E-05
20230904,000426.XSHE,0
20230904,000428.XSHE,0
20230904,000429.XSHE,0
20230904,000430.XSHE,0.00068287
20230904,000488.XSHE,0
20230904,000498.XSHE,0
20230904,000501.XSHE,0.000472117
20230904,000503.XSHE,0
20230904,000504.XSHE,0.000605917
20230904,000505.XSHE,0.000319826
20230904,000506.XSHE,0
20230904,000507.XSHE,0.000322085
20230904,000509.XSHE,7.73E-05
20230904,000510.XSHE,0.000487418
20230904,000513.XSHE,0
20230904,000514.XSHE,0.001122334
20230904,000516.XSHE,0.000451652
20230904,000517.XSHE,6.15E-05
20230904,000518.XSHE,6.98E-06
20230904,000519.XSHE,0
20230904,000520.XSHE,0
20230904,000521.XSHE,0.000568239
20230904,000523.XSHE,0
20230904,000524.XSHE,0.000720365
