,ts_code,name,industry
0,000001.SZ,平安银行,银行
1,000002.SZ,万科A,全国地产
2,000004.SZ,国华网安,软件服务
3,000005.SZ,ST星源,环境保护
4,000006.SZ,深振业A,区域地产
5,000007.SZ,*ST全新,其他商业
6,000008.SZ,神州高铁,运输设备
7,000009.SZ,中国宝安,电气设备
8,000010.SZ,美丽生态,建筑工程
9,000011.SZ,深物业A,区域地产
10,000012.SZ,南玻A,玻璃
11,000014.SZ,沙河股份,全国地产
12,000016.SZ,深康佳A,家用电器
13,000017.SZ,深中华A,服饰
14,000019.SZ,深粮控股,农业综合
15,000020.SZ,深华发A,元器件
16,000021.SZ,深科技,元器件
17,000023.SZ,ST深天,水泥
18,000025.SZ,特力A,汽车服务
19,000026.SZ,飞亚达,服饰
20,000027.SZ,深圳能源,火力发电
21,000028.SZ,国药一致,医药商业
22,000029.SZ,深深房A,区域地产
23,000030.SZ,富奥股份,汽车配件
24,000031.SZ,大悦城,全国地产
25,000032.SZ,深桑达A,建筑工程
26,000034.SZ,神州数码,软件服务
27,000035.SZ,中国天楹,环境保护
28,000036.SZ,华联控股,全国地产
29,000037.SZ,深南电A,火力发电
30,000039.SZ,中集集团,运输设备
31,000040.SZ,东旭蓝天,新型电力
32,000042.SZ,中洲控股,全国地产
33,000045.SZ,深纺织A,元器件
34,000046.SZ,*ST泛海,多元金融
35,000048.SZ,京基智农,区域地产
36,000049.SZ,德赛电池,电气设备
37,000050.SZ,深天马A,元器件
38,000055.SZ,方大集团,装修装饰
39,000056.SZ,皇庭国际,房产服务
40,000058.SZ,深赛格,商品城
41,000059.SZ,华锦股份,石油加工
42,000060.SZ,中金岭南,铅锌
43,000061.SZ,农产品,农业综合
44,000062.SZ,深圳华强,元器件
45,000063.SZ,中兴通讯,通信设备
46,000065.SZ,北方国际,建筑工程
47,000066.SZ,中国长城,IT设备
48,000068.SZ,华控赛格,环境保护
49,000069.SZ,华侨城A,全国地产
50,000070.SZ,特发信息,通信设备
51,000078.SZ,海王生物,医药商业
52,000088.SZ,盐田港,港口
53,000089.SZ,深圳机场,机场
54,000090.SZ,天健集团,建筑工程
55,000096.SZ,广聚能源,石油贸易
56,000099.SZ,中信海直,空运
57,000100.SZ,TCL科技,元器件
58,000151.SZ,中成股份,商贸代理
59,000153.SZ,丰原药业,化学制药
60,000155.SZ,川能动力,新型电力
61,000156.SZ,华数传媒,影视音像
62,000157.SZ,中联重科,工程机械
63,000158.SZ,常山北明,软件服务
64,000159.SZ,国际实业,石油贸易
65,000166.SZ,申万宏源,证券
66,000301.SZ,东方盛虹,化纤
67,000333.SZ,美的集团,家用电器
68,000338.SZ,潍柴动力,汽车配件
69,000400.SZ,许继电气,电气设备
70,000401.SZ,冀东水泥,水泥
71,000402.SZ,金融街,全国地产
72,000403.SZ,派林生物,生物制药
73,000404.SZ,长虹华意,家用电器
74,000407.SZ,胜利股份,供气供热
75,000408.SZ,藏格矿业,农药化肥
76,000409.SZ,云鼎科技,软件服务
77,000410.SZ,沈阳机床,机床制造
78,000411.SZ,英特集团,医药商业
79,000413.SZ,东旭光电,元器件
80,000415.SZ,渤海租赁,多元金融
81,000416.SZ,*ST民控,多元金融
82,000417.SZ,合肥百货,百货
83,000419.SZ,通程控股,百货
84,000420.SZ,吉林化纤,化纤
85,000421.SZ,南京公用,供气供热
86,000422.SZ,湖北宜化,农药化肥
87,000423.SZ,东阿阿胶,中成药
88,000425.SZ,徐工机械,工程机械
89,000426.SZ,兴业银锡,铅锌
90,000428.SZ,华天酒店,酒店餐饮
91,000429.SZ,粤高速A,路桥
92,000430.SZ,张家界,旅游景点
93,000488.SZ,晨鸣纸业,造纸
94,000498.SZ,山东路桥,建筑工程
95,000501.SZ,武商集团,百货
96,000503.SZ,国新健康,软件服务
97,000504.SZ,南华生物,医疗保健
98,000505.SZ,京粮控股,食品
99,000506.SZ,中润资源,黄金
100,000507.SZ,珠海港,港口
101,000509.SZ,华塑控股,元器件
102,000510.SZ,新金路,化工原料
103,000513.SZ,丽珠集团,化学制药
104,000514.SZ,渝开发,区域地产
105,000516.SZ,国际医学,医疗保健
106,000517.SZ,荣安地产,区域地产
107,000518.SZ,四环生物,生物制药
108,000519.SZ,中兵红箭,专用机械
109,000520.SZ,凤凰航运,水运
110,000521.SZ,长虹美菱,家用电器
111,000523.SZ,广州浪奇,日用化工
112,000524.SZ,岭南控股,旅游服务
113,000525.SZ,ST红太阳,农药化肥
114,000526.SZ,学大教育,文教休闲
115,000528.SZ,柳工,工程机械
116,000529.SZ,广弘控股,食品
117,000530.SZ,冰山冷热,机械基件
118,000531.SZ,穗恒运A,火力发电
119,000532.SZ,华金资本,多元金融
120,000533.SZ,顺钠股份,电气设备
121,000534.SZ,万泽股份,生物制药
122,000536.SZ,华映科技,元器件
123,000537.SZ,广宇发展,新型电力
124,000538.SZ,云南白药,中成药
125,000539.SZ,粤电力A,火力发电
126,000541.SZ,佛山照明,家用电器
127,000543.SZ,皖能电力,火力发电
128,000544.SZ,中原环保,环境保护
129,000545.SZ,金浦钛业,化工原料
130,000546.SZ,ST金圆,环境保护
131,000547.SZ,航天发展,通信设备
132,000548.SZ,湖南投资,路桥
133,000550.SZ,江铃汽车,汽车整车
134,000551.SZ,创元科技,专用机械
135,000552.SZ,甘肃能化,煤炭开采
136,000553.SZ,安道麦A,农药化肥
137,000554.SZ,泰山石油,石油贸易
138,000555.SZ,神州信息,软件服务
139,000557.SZ,西部创业,铁路
140,000558.SZ,莱茵体育,文教休闲
141,000559.SZ,万向钱潮,汽车配件
142,000560.SZ,我爱我家,房产服务
143,000561.SZ,烽火电子,通信设备
144,000563.SZ,陕国投A,多元金融
145,000564.SZ,ST大集,百货
146,000565.SZ,渝三峡A,染料涂料
147,000566.SZ,海南海药,化学制药
148,000567.SZ,海德股份,多元金融
149,000568.SZ,泸州老窖,白酒
150,000570.SZ,苏常柴A,农用机械
151,000571.SZ,新大洲A,煤炭开采
152,000572.SZ,海马汽车,汽车整车
153,000573.SZ,粤宏远A,电气设备
154,000576.SZ,甘化科工,食品
155,000581.SZ,威孚高科,汽车配件
156,000582.SZ,北部湾港,港口
157,000584.SZ,ST工智,专用机械
158,000586.SZ,汇源通信,通信设备
159,000589.SZ,贵州轮胎,汽车配件
160,000590.SZ,启迪药业,中成药
161,000591.SZ,太阳能,新型电力
162,000592.SZ,平潭发展,林业
163,000593.SZ,德龙汇能,供气供热
164,000595.SZ,宝塔实业,机械基件
165,000596.SZ,古井贡酒,白酒
166,000597.SZ,东北制药,化学制药
167,000598.SZ,兴蓉环境,水务
168,000599.SZ,青岛双星,汽车配件
169,000600.SZ,建投能源,火力发电
170,000601.SZ,韶能股份,水力发电
171,000603.SZ,盛达资源,铅锌
172,000605.SZ,渤海股份,供气供热
173,000607.SZ,华媒控股,广告包装
174,000608.SZ,阳光股份,区域地产
175,000609.SZ,中迪投资,区域地产
176,000610.SZ,西安旅游,旅游服务
177,000612.SZ,焦作万方,铝
178,000615.SZ,*ST美谷,医疗保健
179,000617.SZ,中油资本,多元金融
180,000619.SZ,海螺新材,其他建材
181,000620.SZ,*ST新联,全国地产
182,000622.SZ,恒立实业,批发业
183,000623.SZ,吉林敖东,中成药
184,000625.SZ,长安汽车,汽车整车
185,000626.SZ,远大控股,商贸代理
186,000627.SZ,天茂集团,保险
187,000628.SZ,高新发展,建筑工程
188,000629.SZ,钒钛股份,小金属
189,000630.SZ,铜陵有色,铜
190,000631.SZ,顺发恒业,综合类
191,000632.SZ,三木集团,综合类
192,000633.SZ,合金投资,小金属
193,000635.SZ,英力特,化工原料
194,000636.SZ,风华高科,元器件
195,000637.SZ,ST实华,石油加工
196,000638.SZ,万方发展,农业综合
197,000639.SZ,西王食品,食品
198,000650.SZ,仁和药业,中成药
199,000651.SZ,格力电器,家用电器
200,000652.SZ,泰达股份,批发业
201,000655.SZ,金岭矿业,普钢
202,000656.SZ,金科股份,全国地产
203,000657.SZ,中钨高新,小金属
204,000659.SZ,珠海中富,广告包装
205,000661.SZ,长春高新,生物制药
206,000663.SZ,永安林业,林业
207,000665.SZ,湖北广电,影视音像
208,000666.SZ,经纬纺机,多元金融
209,000668.SZ,荣丰控股,医药商业
210,000669.SZ,ST金鸿,供气供热
211,000670.SZ,盈方微,元器件
212,000672.SZ,上峰水泥,水泥
213,000676.SZ,智度股份,互联网
214,000677.SZ,恒天海龙,化纤
215,000678.SZ,襄阳轴承,汽车配件
216,000679.SZ,大连友谊,百货
217,000680.SZ,山推股份,工程机械
218,000681.SZ,视觉中国,互联网
219,000682.SZ,东方电子,电气设备
220,000683.SZ,远兴能源,化工原料
221,000685.SZ,中山公用,水务
222,000686.SZ,东北证券,证券
223,000688.SZ,国城矿业,铅锌
224,000690.SZ,宝新能源,火力发电
225,000691.SZ,亚太实业,化工原料
226,000692.SZ,*ST惠天,供气供热
227,000695.SZ,滨海能源,广告包装
228,000697.SZ,*ST炼石,航空
229,000698.SZ,沈阳化工,石油加工
230,000700.SZ,模塑科技,汽车配件
231,000701.SZ,厦门信达,商贸代理
232,000702.SZ,正虹科技,饲料
233,000703.SZ,恒逸石化,化纤
234,000705.SZ,浙江震元,医药商业
235,000707.SZ,双环科技,化工原料
236,000708.SZ,中信特钢,特种钢
237,000709.SZ,河钢股份,普钢
238,000710.SZ,贝瑞基因,医疗保健
239,000711.SZ,*ST京蓝,环境保护
240,000712.SZ,锦龙股份,证券
241,000713.SZ,丰乐种业,种植业
242,000715.SZ,中兴商业,百货
243,000716.SZ,黑芝麻,食品
244,000717.SZ,中南股份,普钢
245,000718.SZ,苏宁环球,区域地产
246,000719.SZ,中原传媒,出版业
247,000720.SZ,新能泰山,电气设备
248,000721.SZ,西安饮食,酒店餐饮
249,000722.SZ,湖南发展,其他建材
250,000723.SZ,美锦能源,焦炭加工
251,000725.SZ,京东方A,元器件
252,000726.SZ,鲁泰A,纺织
253,000727.SZ,冠捷科技,元器件
254,000728.SZ,国元证券,证券
255,000729.SZ,燕京啤酒,啤酒
256,000731.SZ,四川美丰,农药化肥
257,000733.SZ,振华科技,元器件
258,000735.SZ,罗牛山,农业综合
259,000736.SZ,中交地产,全国地产
260,000737.SZ,北方铜业,铜
261,000738.SZ,航发控制,航空
262,000739.SZ,普洛药业,化学制药
263,000750.SZ,国海证券,证券
264,000751.SZ,锌业股份,铅锌
265,000752.SZ,*ST西发,啤酒
266,000753.SZ,漳州发展,汽车服务
267,000755.SZ,山西路桥,路桥
268,000756.SZ,新华制药,化学制药
269,000757.SZ,浩物股份,汽车服务
270,000758.SZ,中色股份,铅锌
271,000759.SZ,中百集团,超市连锁
272,000761.SZ,本钢板材,普钢
273,000762.SZ,西藏矿业,小金属
274,000766.SZ,通化金马,化学制药
275,000767.SZ,晋控电力,火力发电
276,000768.SZ,中航西飞,航空
277,000776.SZ,广发证券,证券
278,000777.SZ,中核科技,机械基件
279,000778.SZ,新兴铸管,钢加工
280,000779.SZ,甘咨询,建筑工程
281,000782.SZ,美达股份,化纤
282,000783.SZ,长江证券,证券
283,000785.SZ,居然之家,百货
284,000786.SZ,北新建材,其他建材
285,000788.SZ,北大医药,化学制药
286,000789.SZ,万年青,水泥
287,000790.SZ,华神科技,中成药
288,000791.SZ,甘肃能源,水力发电
289,000792.SZ,盐湖股份,农药化肥
290,000793.SZ,华闻集团,出版业
291,000795.SZ,英洛华,矿物制品
