date,asset,weight
20230828,000001.XSHE,0
20230828,000002.XSHE,0
20230828,000004.XSHE,0
20230828,000005.XSHE,0
20230828,000006.XSHE,0
20230828,000007.XSHE,7.47E-05
20230828,000008.XSHE,0
20230828,000009.XSHE,0
20230828,000010.XSHE,0
20230828,000011.XSHE,0
20230828,000012.XSHE,0
20230828,000014.XSHE,0
20230828,000016.XSHE,0
20230828,000017.XSHE,0.000598565
20230828,000019.XSHE,0.000142469
20230828,000020.XSHE,0.001125145
20230828,000021.XSHE,0
20230828,000023.XSHE,0
20230828,000025.XSHE,0
20230828,000026.XSHE,0.000142863
20230828,000027.XSHE,0
20230828,000028.XSHE,0
20230828,000029.XSHE,0
20230828,000030.XSHE,0.000392985
20230828,000031.XSHE,0
20230828,000032.XSHE,0
20230828,000034.XSHE,0
20230828,000035.XSHE,0.000591561
20230828,000036.XSHE,0
20230828,000037.XSHE,0
20230828,000039.XSHE,0
20230828,000040.XSHE,0
20230828,000042.XSHE,0
20230828,000045.XSHE,4.64E-05
20230828,000046.XSHE,0
20230828,000048.XSHE,0
20230828,000049.XSHE,0
20230828,000050.XSHE,0.000305152
20230828,000055.XSHE,0.000609299
20230828,000056.XSHE,0.000587769
20230828,000058.XSHE,0
20230828,000059.XSHE,0
20230828,000060.XSHE,0
20230828,000061.XSHE,0
20230828,000062.XSHE,7.83E-05
20230828,000063.XSHE,0
20230828,000065.XSHE,0
20230828,000066.XSHE,0
20230828,000068.XSHE,0
20230828,000069.XSHE,0
20230828,000070.XSHE,0
20230828,000078.XSHE,0
20230828,000088.XSHE,7.14E-05
20230828,000089.XSHE,0
20230828,000090.XSHE,0
20230828,000096.XSHE,0.000434182
20230828,000099.XSHE,0
20230828,000100.XSHE,0
20230828,000151.XSHE,0
20230828,000153.XSHE,0
20230828,000155.XSHE,0
20230828,000156.XSHE,0
20230828,000157.XSHE,0
20230828,000158.XSHE,0
20230828,000159.XSHE,0.00044775
20230828,000166.XSHE,0
20230828,000301.XSHE,0
20230828,000333.XSHE,0
20230828,000338.XSHE,0
20230828,000400.XSHE,0
20230828,000401.XSHE,0
20230828,000402.XSHE,0
20230828,000403.XSHE,0
20230828,000404.XSHE,4.52E-05
20230828,000407.XSHE,0
20230828,000408.XSHE,0
20230828,000409.XSHE,0.000470038
20230828,000410.XSHE,0
20230828,000411.XSHE,0
20230828,000413.XSHE,0
20230828,000415.XSHE,0
20230828,000416.XSHE,0
20230828,000417.XSHE,0.000355063
20230828,000419.XSHE,8.95E-05
20230828,000420.XSHE,0
20230828,000421.XSHE,0.000414083
20230828,000422.XSHE,0
20230828,000423.XSHE,0
20230828,000425.XSHE,0
20230828,000426.XSHE,0
20230828,000428.XSHE,0
20230828,000429.XSHE,2.20E-05
20230828,000430.XSHE,0.000173943
20230828,000488.XSHE,0
20230828,000498.XSHE,0
20230828,000501.XSHE,0.000117567
20230828,000503.XSHE,0
20230828,000504.XSHE,0.000146181
20230828,000505.XSHE,0
20230828,000506.XSHE,0
20230828,000507.XSHE,0.000150048
20230828,000509.XSHE,0
20230828,000510.XSHE,0.000289059
20230828,000513.XSHE,0
